Title,Note,URL,Tags,Comment
,,,,
Bogota Bike Tours,,https://www.google.com/maps/place/Bogota+Bike+Tours/data=!4m2!3m1!1s0x8e3f99a5c36f92d1:0x90d80aa51895ca56,,
4.40 Music Hall,,https://www.google.com/maps/place/4.40+Music+Hall/data=!4m2!3m1!1s0x8e3f9af525616083:0x698e894628580c3,,
Andino Shopping Mall,Catalina’s recommendation,https://www.google.com/maps/place/Andino+Shopping+Mall/data=!4m2!3m1!1s0x8e3f9af5539e0589:0x58f8536449f01c72,,
El Goce Pagano,司机推荐的salsa place,https://www.google.com/maps/place/El+Goce+Pagano/data=!4m2!3m1!1s0x8e3f9893ebd5509f:0x76e5abd483860fec,,
El Dorado International Airport,,https://www.google.com/maps/place/El+Dorado+International+Airport/data=!4m2!3m1!1s0x8e3f9cb6430f8607:0x8eea5954ef14af30,,
Sabaneta,,https://www.google.com/maps/place/Sabaneta/data=!4m2!3m1!1s0x8e4683deac15e213:0xd7d66a6bbf97ed8c,,
Plaza Cisneros,,https://www.google.com/maps/place/Plaza+Cisneros/data=!4m2!3m1!1s0x8e442854e210a81b:0xead8b82cbb47450a,,
Porton de Provenza,,https://www.google.com/maps/place/Porton+de+Provenza/data=!4m2!3m1!1s0x8e4429a96fcffe55:0x61f5f6024f48d1d8,,
Santafé Mall,,https://www.google.com/maps/place/Santaf%C3%A9+Mall/data=!4m2!3m1!1s0x8e4682881ca00127:0xf96762aa39ea4209,,
Jose Maria Cordova International Airport,,https://www.google.com/maps/place/Jose+Maria+Cordova+International+Airport/data=!4m2!3m1!1s0x8e469e78b840720f:0x9263a9a2a8b8e1b8,,
Restaurante Mondongo's El Poblado,,https://www.google.com/maps/place/Restaurante+Mondongo's+El+Poblado/data=!4m2!3m1!1s0x8e442829780c3125:0x1c9f4d38c6febc52,,
Medellín Es Sabor-Champi,,https://www.google.com/maps/place/Medell%C3%ADn+Es+Sabor-Champi/data=!4m2!3m1!1s0x8e442829a20c4507:0x920e431362da9377,,
Lineal La Frontera Park,Run club,https://www.google.com/maps/place/Lineal+La+Frontera+Park/data=!4m2!3m1!1s0x8e46825fb303ac0b:0x5dbac5712049412a,,
Salvo Patria,,https://www.google.com/maps/place/Salvo+Patria/data=!4m2!3m1!1s0x8e3f9a3bea5a24d5:0xfa0c75ff9b851f06,,
Crepes & Waffles Las Aguas,,https://www.google.com/maps/place/Crepes+%26+Waffles+Las+Aguas/data=!4m2!3m1!1s0x8e3f99a421c5a24d:0x4ca1d13e1967e283,,
Restaurante Abbiocco,Bella强烈推荐,https://www.google.com/maps/place/Restaurante+Abbiocco/data=!4m2!3m1!1s0x8e4429b17683c0c5:0x34809f5c2bb2ca46,,
"Plaza Botero - Medellín, Antioquia",,"https://www.google.com/maps/place/Plaza+Botero+-+Medell%C3%ADn,+Antioquia/data=!4m2!3m1!1s0x8e4428fecb4dff77:0x2e5a7e51ab929892",,
San Javier,贫民窟改造,https://www.google.com/maps/place/San+Javier/data=!4m2!3m1!1s0x8e442bd61b35b135:0x7ac589026488978b,,
Museum of Antioquia,,https://www.google.com/maps/place/Museum+of+Antioquia/data=!4m2!3m1!1s0x8e4428feb81e9f5d:0x213a72a1fad66b8b,,
Museo Nacional de Colombia,,https://www.google.com/maps/place/Museo+Nacional+de+Colombia/data=!4m2!3m1!1s0x8e3f998484277acf:0x3bab23efae829923,,
Bogotá Museum of Modern Art MAMBO,,https://www.google.com/maps/place/Bogot%C3%A1+Museum+of+Modern+Art+MAMBO/data=!4m2!3m1!1s0x8e3f999911569f31:0x222513c18f27d177,,
Museo Quinta de Bolívar,玻利瓦尔故居 周三下午免费,https://www.google.com/maps/place/Museo+Quinta+de+Bol%C3%ADvar/data=!4m2!3m1!1s0x8e3f99bc91686845:0xd8fe3232a87e7178,,
El Chato,,https://www.google.com/maps/place/El+Chato/data=!4m2!3m1!1s0x8e3f9a44fa5cc941:0x1e38af7880720026,,
Tierra Chapinero,,https://www.google.com/maps/place/Tierra+Chapinero/data=!4m2!3m1!1s0x8e3f9b42098c8213:0x756607221442a55a,,
Parque de la 93,,https://www.google.com/maps/place/Parque+de+la+93/data=!4m2!3m1!1s0x8e3f9a921a9166bf:0x1c29279b4c345958,,
La Perseverancia Distrital Marketplace,美食广场,https://www.google.com/maps/place/La+Perseverancia+Distrital+Marketplace/data=!4m2!3m1!1s0x8e3f999ab1cfebe9:0x62824d653bde1795,,
San Victorino,集市,https://www.google.com/maps/place/San+Victorino/data=!4m2!3m1!1s0x8e3f9908fd246ae5:0x6a74e9419434a372,,
Museo de Arte Miguel Urrutia -MAMU-,,https://www.google.com/maps/place/Museo+de+Arte+Miguel+Urrutia+-MAMU-/data=!4m2!3m1!1s0x8e3f99a89ebba947:0x104ef220ac966486,,
Café Matuca,,https://www.google.com/maps/place/Caf%C3%A9+Matuca/data=!4m2!3m1!1s0x8e3f99b8abf47bb9:0xa9e277717068d3f8,,
University of the Andes,下山就是 可以看看建筑,https://www.google.com/maps/place/University+of+the+Andes/data=!4m2!3m1!1s0x8e3f99a4a124b335:0x8e9f4683d1db9cb,,
Santuario Nuestra Señora del Carmen,,https://www.google.com/maps/place/Santuario+Nuestra+Se%C3%B1ora+del+Carmen/data=!4m2!3m1!1s0x8e3f99a84e429d3b:0xd3d7237cb2558836,,
Gold Museum,,https://www.google.com/maps/place/Gold+Museum/data=!4m2!3m1!1s0x8e3f99a6c60f7ccd:0xc18fcd6091a051ed,,
Santa Fe,不安全！,https://www.google.com/maps/place/Santa+Fe/data=!4m2!3m1!1s0x8e3f9a24f5244f69:0xc863309eb6922ea1,,
Plaza de Bolívar,,https://www.google.com/maps/place/Plaza+de+Bol%C3%ADvar/data=!4m2!3m1!1s0x8e3f99a7eccfe58f:0x99cb72b35351476,,
Usaquén Flea Market,"常驻市集：Usaquén 手工艺术市集
Usaquén Mercado de Artesanías
▫️波哥大最知名、最适合游客打卡的手作市集
▫️环境轻松、有很多咖啡厅，适合半天散步、手工艺和设计师品牌都能找到
▫️以 Cafe Quindío 旁的那条市集街最集中，往教堂广场（Parque de Usaquén）一路都有零散摊位
",https://www.google.com/maps/place/Usaqu%C3%A9n+Flea+Market/data=!4m2!3m1!1s0x8e3f99740ee43781:0x73fd2f61a92fb066,,
Botero Museum,,https://www.google.com/maps/place/Botero+Museum/data=!4m2!3m1!1s0x8e3f99a89d8291ad:0x2f9edf224143e1ac,,
Monserrate,看日落 考虑提前买票因为现场买票排队很长,https://www.google.com/maps/place/Monserrate/data=!4m2!3m1!1s0x8e3f99bfd2a459a9:0x352a5134b65e607b,,
La Candelaria,老街,https://www.google.com/maps/place/La+Candelaria/data=!4m2!3m1!1s0x8e3f99a844cf79cb:0xa58d1864daa71331,,
Viajero Bogota Hostel & Spa,,https://www.google.com/maps/place/Viajero+Bogota+Hostel+%26+Spa/data=!4m2!3m1!1s0x8e3f99a2fc15ff2d:0x6cf1b0876b4f0451,,
Viajero Hostel Medellín & Rooftop Bar,,https://www.google.com/maps/place/Viajero+Hostel+Medell%C3%ADn+%26+Rooftop+Bar/data=!4m2!3m1!1s0x8e4429d723b1d121:0xb12214546a6dc2ec,,
