Title,Note,URL,Tags,Comment
,,,,
Yosemite Falls,Round trip 6h 说很美,https://www.google.com/maps/place/Yosemite+Falls/data=!4m2!3m1!1s0x8096f1fb4d25adeb:0xca05cbdf2d93d1b8,,
South Entrance,,https://www.google.com/maps/place/South+Entrance/data=!4m2!3m1!1s0x80969075cbb081d9:0x37dcd7675fd4dea,,
8033 Koon Hollar,Abnb ,https://www.google.com/maps/place/8033+Koon+Hollar/data=!4m2!3m1!1s0x809691ac7f00b61d:0x18085f535ef84de6,,
Glacier Point,对面可以看half dome,https://www.google.com/maps/place/Glacier+Point/data=!4m2!3m1!1s0x8096f2468cfbec91:0x7b096106fffedf91,,
Swinging Brg Trl,,https://www.google.com/maps/place/Swinging+Brg+Trl/data=!4m2!3m1!1s0x8096904aa774d361:0x1355091ae7d61b32,,
Yosemite Valley View,适合看日落,https://www.google.com/maps/place/Yosemite+Valley+View/data=!4m2!3m1!1s0x8096ec3a85a13c65:0xf15f9920dd0121a9,,
El Capitan,,https://www.google.com/maps/place/El+Capitan/data=!4m2!3m1!1s0x8096edd824db8fbd:0x57adcc762fb3d403,,
Mirror Lake Trail,也能开车？,https://www.google.com/maps/place/Mirror+Lake+Trail/data=!4m2!3m1!1s0x8096f3d1955163dd:0xfacaa50f2754612c,,
Bridalveil Fall Parking Area,开车就可以看到的景点,https://www.google.com/maps/place/Bridalveil+Fall+Parking+Area/data=!4m2!3m1!1s0x8096ec34bcda8245:0x62df5ba5d623c638,,
Tunnel View,可以开车,https://www.google.com/maps/place/Tunnel+View/data=!4m2!3m1!1s0x8096ec19dbd2f343:0x4b27348f0a554c4e,,
